customer_id,contract_type,monthly_charges,tenure,total_charges,Churn,charge_change_proxy,tickets_last_7_days,tickets_last_30_days,tickets_last_90_days,complaint_ticket,negative_ratio,sentiment_score_mean,ticket_type_count_billing,ticket_type_count_complaint,ticket_type_count_general,ticket_type_count_service_request,ticket_type_count_technical,mean_days_between_tickets
6467-CHFZW,Month-to-month,99.35,47,4749.15,Yes,-1.695744680851064,1.0,4.0,10.0,1.0,0.3,-0.1,2.0,5.0,1.0,1.0,1.0,7.444444444441873
8665-UTDHZ,Month-to-month,30.2,1,30.2,Yes,0.0,1.0,3.0,8.0,1.0,0.375,-0.125,0.0,1.0,3.0,2.0,2.0,12.000000000026455
5248-YGIJN,Two year,90.25,72,6369.45,No,1.7854166666666629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8773-HHUOZ,Month-to-month,64.7,17,1093.1,Yes,0.4000000000000057,0.0,1.0,4.0,1.0,1.0,-1.0,0.0,3.0,1.0,0.0,0.0,11.333333333310186
3841-NFECX,Two year,96.35,71,6766.95,No,1.0408450704225345,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
4929-XIHVW,Month-to-month,95.5,2,181.65,No,4.674999999999997,0.0,0.0,3.0,1.0,0.6666666666666666,-0.3333333333333333,0.0,1.0,2.0,0.0,0.0,22.000000000011575
6827-IEAUQ,One year,66.15,27,1874.45,No,-3.274074074074065,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
7310-EGVHZ,Month-to-month,20.2,1,20.2,No,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3413-BMNZE,Month-to-month,45.25,1,45.25,No,0.0,0.0,1.0,2.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,1.0,58.00000000003472
6234-RAAPL,Two year,99.9,72,7251.7,No,-0.8180555555555458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6047-YHPVI,Month-to-month,69.7,5,316.9,Yes,6.320000000000007,0.0,2.0,5.0,1.0,0.8,-0.6,0.0,2.0,1.0,1.0,1.0,12.49999999998264
6572-ADKRS,Month-to-month,74.8,46,3548.3,No,-2.3369565217391397,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
5380-WJKOV,Month-to-month,106.35,34,3549.25,Yes,1.9602941176470523,0.0,2.0,5.0,1.0,0.4,0.0,2.0,2.0,0.0,0.0,1.0,18.250000000005787
8168-UQWWF,Month-to-month,97.85,11,1105.4,Yes,-2.640909090909105,1.0,1.0,9.0,1.0,0.5555555555555556,-0.4444444444444444,0.0,5.0,0.0,0.0,4.0,9.999999999978298
8865-TNMNX,One year,49.55,10,475.7,No,1.9799999999999969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9489-DEDVP,Two year,69.2,70,4872.35,No,-0.40500000000000114,0.0,0.0,2.0,0.0,0.5,-0.5,1.0,0.0,0.0,0.0,1.0,12.000000000034722
9867-JCZSP,One year,20.75,17,418.25,No,-3.852941176470587,0.0,0.0,1.0,0.0,1.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0
4671-VJLCL,Two year,79.85,63,4861.45,No,2.6841269841269764,0.0,0.0,2.0,0.0,0.0,0.5,0.0,0.0,0.0,2.0,0.0,1.9999999999652778
4080-IIARD,Month-to-month,76.2,13,981.45,No,0.7038461538461576,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
3714-NTNFO,Month-to-month,84.5,49,3906.7,No,4.771428571428572,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
5948-UJZLF,Month-to-month,49.25,2,97.0,No,0.75,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.999999999965278
7760-OYPDY,Month-to-month,80.65,2,144.15,Yes,8.575000000000003,0.0,1.0,10.0,1.0,0.7,-0.6,2.0,7.0,1.0,0.0,0.0,7.666666666673097
7639-LIAYI,Two year,79.75,52,4217.8,No,-1.3615384615384585,0.0,1.0,2.0,0.0,0.0,0.5,1.0,0.0,0.0,1.0,0.0,6.0000000000347224
2954-PIBKO,Two year,64.15,69,4254.1,No,2.496376811594203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8012-SOUDQ,Month-to-month,90.25,43,3838.75,No,0.9767441860465169,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
9420-LOJKX,Month-to-month,99.1,15,1426.4,Yes,4.006666666666661,1.0,4.0,6.0,1.0,0.3333333333333333,0.0,0.0,5.0,1.0,0.0,0.0,14.800000000027778
6575-SUVOI,Month-to-month,69.5,25,1752.65,No,-0.6060000000000088,0.0,0.0,3.0,0.0,0.0,0.3333333333333333,3.0,0.0,0.0,0.0,0.0,14.99999999998264
7495-OOKFY,Month-to-month,80.65,8,633.3,Yes,1.4875000000000114,0.0,1.0,6.0,1.0,0.5,-0.3333333333333333,1.0,4.0,0.0,0.0,1.0,12.599999999988428
4667-QONEA,One year,74.85,60,4456.35,No,0.5774999999999864,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,48.00000000002315
1658-BYGOY,Month-to-month,95.45,18,1752.55,Yes,-1.9138888888888772,0.0,2.0,4.0,1.0,0.75,-0.5,0.0,2.0,0.0,2.0,0.0,20.00000000001929
8769-KKTPH,One year,99.65,63,6311.2,No,-0.5277777777777715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5067-XJQFU,One year,108.45,66,7076.35,No,1.2325757575757592,0.0,2.0,2.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,1.0,5.0000000000347224
3957-SQXML,Two year,24.95,34,894.3,No,-1.352941176470587,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
5954-BDFSG,Two year,107.5,72,7853.7,No,-1.5791666666666657,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0434-CSFON,Month-to-month,100.5,47,4707.1,No,0.3489361702127525,0.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,28.00000000003472
1215-FIGMP,Month-to-month,89.9,60,5450.7,No,-0.9449999999999932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0526-SXDJP,Two year,42.1,72,2962.0,No,0.9611111111111157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0557-ASKVU,One year,54.4,18,957.1,No,1.2277777777777743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5698-BQJOH,Month-to-month,94.4,9,857.25,Yes,-0.8499999999999943,0.0,3.0,8.0,1.0,0.625,-0.5,1.0,5.0,0.0,1.0,1.0,9.285714285706018
5122-CYFXA,Month-to-month,75.3,3,244.1,No,-6.066666666666663,0.0,1.0,3.0,0.0,0.0,0.3333333333333333,2.0,0.0,1.0,0.0,0.0,31.50000000003472
8627-ZYGSZ,One year,78.9,47,3650.35,No,1.2329787234042584,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
3410-YOQBQ,Two year,79.2,31,2497.2,No,-1.3548387096774093,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
3170-NMYVV,Two year,20.15,50,930.9,No,1.532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7410-OIEDU,Month-to-month,79.85,10,887.35,No,-8.885000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2273-QCKXA,Month-to-month,49.05,1,49.05,No,0.0,0.0,1.0,3.0,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,1.0,0.0,33.50000000002893
0731-EBJQB,One year,20.4,52,1090.65,No,-0.5740384615384642,1.0,2.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,24.499999999982634
1891-QRQSA,Two year,111.6,64,7099.0,No,0.6781249999999943,0.0,0.0,2.0,0.0,0.5,0.0,0.0,0.0,1.0,1.0,0.0,16.999999999953705
8028-PNXHQ,Two year,24.25,62,1424.6,No,1.272580645161291,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,3.000000000034722
5630-AHZIL,Month-to-month,64.5,3,177.4,No,5.366666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2673-CXQEU,One year,110.5,56,6139.5,No,0.8660714285714306,1.0,2.0,2.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,1.0,23.000000000046295
6416-JNVRK,One year,55.65,46,2688.85,No,-2.8032608695652144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5590-ZSKRV,Month-to-month,54.65,8,482.25,No,-5.631250000000001,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0191-ZHSKZ,Month-to-month,74.75,30,2111.3,No,4.373333333333321,0.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,64.9999999999537
3887-PBQAO,One year,25.9,45,1216.6,No,-1.1355555555555554,0.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,53.99999999996528
5919-TMRGD,Month-to-month,79.35,1,79.35,Yes,0.0,1.0,7.0,10.0,1.0,0.4,-0.3,1.0,3.0,1.0,4.0,1.0,8.666666666685956
8108-UXRQN,Month-to-month,50.55,11,565.35,No,-0.845454545454551,0.0,0.0,3.0,0.0,0.3333333333333333,0.0,2.0,0.0,0.0,1.0,0.0,8.999999999976852
9191-MYQKX,Month-to-month,75.15,7,496.9,Yes,4.164285714285725,0.0,2.0,9.0,1.0,0.5555555555555556,-0.3333333333333333,1.0,7.0,0.0,0.0,1.0,8.87500000000868
9919-YLNNG,Month-to-month,103.8,42,4327.5,No,0.7642857142857054,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0318-ZOPWS,Two year,20.15,49,973.35,No,0.2857142857142847,0.0,1.0,3.0,0.0,0.0,0.6666666666666666,2.0,0.0,1.0,0.0,0.0,28.50000000003472
4445-ZJNMU,Month-to-month,99.3,9,918.75,No,-2.7833333333333314,0.0,0.0,1.0,0.0,1.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0
4808-YNLEU,One year,62.15,35,2215.45,No,-1.1485714285714224,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,23.500000000017362
1862-QRWPE,Two year,20.65,48,1057.0,No,-1.3708333333333336,0.0,0.0,2.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,1.0,10.999999999965278
2796-NNUFI,Two year,19.95,46,927.1,No,-0.20434782608695912,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,3.472222222222222e-11
3016-KSVCP,Month-to-month,33.75,29,1009.25,No,-1.051724137931032,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
4767-HZZHQ,Month-to-month,82.05,30,2570.2,No,-3.623333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2424-WVHPL,Month-to-month,74.7,1,74.7,No,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
7233-PAHHL,Two year,84.0,66,5714.25,No,-2.5795454545454533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6067-NGCEU,Month-to-month,111.05,65,7107.0,No,1.7115384615384528,0.0,1.0,2.0,0.0,0.0,0.5,0.0,0.0,1.0,1.0,0.0,59.99999999996528
9848-JQJTX,Two year,100.9,72,7459.05,No,-2.697916666666657,1.0,2.0,3.0,1.0,0.3333333333333333,0.0,1.0,1.0,0.0,0.0,1.0,29.50000000003472
8637-XJIVR,Month-to-month,78.95,12,927.35,Yes,1.6708333333333343,0.0,1.0,8.0,1.0,0.25,0.0,1.0,3.0,2.0,1.0,1.0,10.571428571397155
9803-FTJCG,One year,66.85,71,4748.7,No,-0.0330985915493045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0278-YXOOG,Month-to-month,21.05,5,113.85,Yes,-1.7199999999999989,1.0,2.0,5.0,1.0,0.6,-0.6,0.0,1.0,1.0,1.0,2.0,20.249999999985533
3212-KXOCR,Two year,21.0,52,1107.2,No,-0.2923076923076948,0.0,1.0,3.0,0.0,0.0,0.6666666666666666,1.0,0.0,0.0,2.0,0.0,26.00000000001157
4598-XLKNJ,Month-to-month,98.5,25,2514.5,Yes,-2.0799999999999983,1.0,2.0,7.0,1.0,0.7142857142857143,-0.7142857142857143,2.0,4.0,1.0,0.0,0.0,14.166666666662808
6380-ARCEH,Month-to-month,20.2,1,20.2,No,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3679-XASPY,Month-to-month,19.45,1,19.45,No,0.0,0.0,0.0,2.0,1.0,0.5,-0.5,0.0,1.0,1.0,0.0,0.0,19.000000000034724
7123-WQUHX,One year,95.0,38,3605.6,No,0.11578947368421666,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
5386-THSLQ,One year,45.55,66,3027.25,No,-0.31742424242424505,0.0,0.0,2.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,1.0,18.000000000034724
3192-NQECA,Two year,110.0,68,7611.85,Yes,-1.9389705882352928,0.0,1.0,6.0,1.0,0.3333333333333333,0.0,1.0,3.0,0.0,2.0,0.0,12.199999999993056
6180-YBIQI,Month-to-month,24.3,5,100.2,No,4.260000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6728-DKUCO,One year,104.15,72,7303.05,No,2.71875,0.0,1.0,2.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,1.0,46.000000000104166
9750-BOOHV,One year,30.15,32,927.65,No,1.1609374999999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8597-CWYHH,One year,94.35,43,3921.3,No,3.1569767441860392,0.0,0.0,2.0,0.0,1.0,-1.0,2.0,0.0,0.0,0.0,0.0,9.000000000034722
2848-YXSMW,Two year,19.4,72,1363.25,No,0.46597222222222,0.0,1.0,3.0,1.0,0.0,0.3333333333333333,0.0,1.0,1.0,1.0,0.0,19.50000000001736
0486-HECZI,Month-to-month,96.75,55,5238.9,Yes,1.4972727272727298,0.0,2.0,6.0,1.0,0.6666666666666666,-0.5,2.0,3.0,0.0,1.0,0.0,15.800000000018521
4549-ZDQYY,One year,57.95,52,3042.25,No,-0.5548076923076906,1.0,1.0,2.0,1.0,0.5,-0.5,0.0,1.0,1.0,0.0,0.0,85.00000000002315
5712-AHQNN,Month-to-month,91.65,43,3954.1,No,-0.30581395348836793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4846-WHAFZ,Month-to-month,76.5,37,2868.15,Yes,-1.0175675675675677,0.0,1.0,5.0,1.0,0.6,-0.4,0.0,4.0,0.0,1.0,0.0,13.000000000023148
5256-SKJGO,Two year,54.6,64,3423.5,No,1.1078125000000014,0.0,1.0,3.0,0.0,0.3333333333333333,0.0,1.0,0.0,0.0,2.0,0.0,10.500000000028935
3071-VBYPO,Month-to-month,89.85,3,248.4,No,7.049999999999997,0.0,1.0,2.0,0.0,0.0,0.5,1.0,0.0,0.0,1.0,0.0,41.00000000003472
9560-BBZXK,Two year,31.05,36,1126.35,No,-0.23749999999999716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5299-RULOA,Month-to-month,100.25,10,1064.65,Yes,-6.215000000000003,0.0,1.0,6.0,1.0,0.5,-0.3333333333333333,0.0,3.0,1.0,0.0,2.0,15.799999999979166
8402-OOOHJ,Two year,20.65,41,835.15,No,0.2804878048780495,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9445-ZUEQE,Month-to-month,85.2,27,2151.6,No,5.51111111111112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1091-SOZGA,One year,99.8,56,5515.45,No,1.309821428571425,1.0,1.0,2.0,0.0,0.0,0.5,0.0,0.0,1.0,1.0,0.0,26.999999999953705
2928-HLDBA,Month-to-month,20.7,6,112.75,No,1.9083333333333314,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
0404-SWRVG,Month-to-month,74.4,3,229.55,Yes,-2.11666666666666,1.0,4.0,10.0,1.0,0.8,-0.6,1.0,5.0,2.0,2.0,0.0,8.88888888890175
6497-TILVL,Month-to-month,50.7,7,350.35,No,0.6499999999999986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7219-TLZHO,Month-to-month,20.85,4,62.9,No,5.125000000000002,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
4622-YNKIJ,Two year,88.95,33,3027.65,No,-2.796969696969697,0.0,0.0,2.0,1.0,0.5,0.0,0.0,1.0,0.0,0.0,1.0,20.000000000034724
4412-YLTKF,Month-to-month,78.05,27,2135.5,Yes,-1.042592592592598,1.0,1.0,6.0,1.0,0.5,-0.3333333333333333,1.0,2.0,1.0,1.0,1.0,16.99999999998148
6734-PSBAW,Two year,23.55,72,1723.95,No,-0.3937500000000007,0.0,0.0,1.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0
3930-ZGWVE,Month-to-month,19.75,1,19.75,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2639-UGMAZ,One year,56.45,71,3985.35,No,0.3183098591549367,0.0,1.0,3.0,0.0,0.0,0.3333333333333333,0.0,0.0,2.0,0.0,1.0,25.49999999998264
2876-GZYZC,Month-to-month,85.95,13,1215.65,No,-7.561538461538461,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
6207-WIOLX,Month-to-month,58.6,25,1502.65,Yes,-1.5060000000000002,0.0,2.0,8.0,1.0,0.625,-0.625,1.0,3.0,1.0,1.0,2.0,9.5714285714418
8587-XYZSF,Two year,50.55,67,3260.1,No,1.8917910447761201,2.0,2.0,3.0,1.0,0.0,0.3333333333333333,1.0,1.0,0.0,0.0,1.0,43.000000000017366
3091-FYHKI,Month-to-month,35.45,1,35.45,Yes,0.0,0.0,2.0,8.0,1.0,0.625,-0.25,0.0,3.0,3.0,0.0,2.0,10.857142857166005
2372-HWUHI,Month-to-month,44.35,2,81.25,Yes,3.7250000000000014,0.0,4.0,8.0,1.0,0.5,-0.375,0.0,5.0,2.0,0.0,1.0,9.285714285692793
7799-LGRDP,Two year,25.7,43,1188.2,No,-1.932558139534887,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,14.000000000046297
7850-VWJUU,Month-to-month,75.0,23,1778.5,No,-2.326086956521735,0.0,0.0,1.0,0.0,1.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0
3774-VBNXY,Two year,20.2,64,1277.75,No,0.2351562499999993,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
6217-KDYWC,Two year,19.6,57,1170.55,No,-0.9359649122806992,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,7.499999999976851
0390-DCFDQ,Month-to-month,70.45,1,70.45,Yes,0.0,0.0,6.0,10.0,1.0,0.7,-0.5,0.0,6.0,2.0,1.0,1.0,5.8888888888927475
3146-MSEGF,Two year,88.05,72,6425.65,No,-1.1951388888888914,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4080-OGPJL,Month-to-month,71.15,8,563.65,Yes,0.6937500000000085,1.0,3.0,8.0,1.0,0.375,-0.125,1.0,2.0,3.0,0.0,2.0,11.857142857152779
1095-WGNGG,Two year,101.05,61,5971.25,No,3.1606557377049143,1.0,2.0,3.0,0.0,0.3333333333333333,0.0,2.0,0.0,1.0,0.0,0.0,20.00000000003472
2636-SJDOU,One year,84.3,64,5289.05,No,1.6585937499999943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1131-QQZEB,Two year,23.95,71,1756.2,No,-0.7852112676056358,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5716-EZXZN,Two year,99.05,65,6416.7,No,0.33153846153845734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6837-BJYDQ,One year,19.6,3,61.35,No,-0.8499999999999979,0.0,0.0,3.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,3.0,2.500000000023148
2135-RXIHG,Month-to-month,45.65,1,45.65,Yes,0.0,1.0,5.0,9.0,1.0,0.7777777777777778,-0.6666666666666666,2.0,6.0,0.0,0.0,1.0,7.37500000001302
6440-DKQGE,One year,64.5,30,1929.95,No,0.16833333333333655,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3466-BYAVD,Month-to-month,69.5,15,1071.4,No,-1.9266666666666765,0.0,0.0,3.0,1.0,0.3333333333333333,0.0,1.0,1.0,0.0,1.0,0.0,22.000000000040508
3780-YVMFA,Month-to-month,68.55,8,564.35,No,-1.9937500000000057,0.0,2.0,2.0,1.0,0.0,0.5,0.0,1.0,0.0,1.0,0.0,17.999999999965276
3874-EQOEP,Month-to-month,95.0,7,655.5,Yes,1.3571428571428612,0.0,2.0,10.0,1.0,0.8,-0.7,1.0,6.0,1.0,0.0,2.0,7.6666666666705225
1679-JRFBR,One year,108.15,70,7930.55,No,-5.14357142857142,0.0,1.0,2.0,1.0,0.0,0.5,0.0,1.0,1.0,0.0,0.0,29.00000000003472
9073-ZZIAY,Two year,86.1,62,5215.25,No,1.9830645161290334,0.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.000000000034722
3077-RSNTJ,Month-to-month,19.7,6,113.5,No,0.7833333333333314,1.0,2.0,2.0,0.0,0.0,0.5,1.0,0.0,1.0,0.0,0.0,26.99999999996528
